symbol
AAPL
MSFT
GOOGL
AMZN
NVDA
META
TSLA
BRK.B
UNH
V
JPM
PG
MA
HD
LLY
PEP
ABBV
COST
AVGO
MRK
KO
XOM
WMT
CVX
BAC
MCD
DIS
ADBE
CSCO
PFE
TMO
ABT
CMCSA
ACN
DHR
LIN
NKE
TXN
NEE
WFC
